6.24,7.93,9.28,12.07,23.09
5.61,6.98,7.16,14.43,18.33
0.59,0.7,0.82,1.17,1.37
7.18,9.3,14.4,18.49,32.36
5.46,7.91,7.51,16.1,20.53
0.7,0.72,0.81,1.17,1.37
66.49,127.6,188.57,298.06,516.28
52.5,67.94,87.89,159.76,306.31
1.23,1.45,1.71,2.23,3.57
106.43,112.8,187.16,291.81,456.67
54.86,63.93,94.31,149.49,272.2
1.4,1.56,1.68,2.25,3.4
180.79,488.63,616.01,1016.13,2486.95
214.58,258.71,409.84,615.53,1095.67
2.41,2.58,3.2,4.63,7.53
280.71,454.95,775.4,1272.84,2260.16
199.37,246.01,384.91,628.21,1046.34
2.83,2.9,3.14,3.73,6.52
